index,eligible,ground_truth_eligible,witness_time_ms,generate_time_ms,verify_time_ms,verified,jurisdiction,jurisdiction_name,failed_flags
656,false,false,34,35,0,false,3,Maharashtra,"kyc_pass;mutation_complete;tax_paid;jurisdiction_eligible;jurisdiction_mismatch"
657,true,true,220,233,13,true,7,Gujarat,""
658,false,false,30,31,0,false,5,Chandigarh,"jurisdiction_eligible;jurisdiction_mismatch"
659,true,true,212,227,15,true,0,Delhi,""
660,true,true,216,232,16,true,1,Karnataka,""
661,true,true,253,266,13,true,6,Uttar_Pradesh,""
662,true,true,239,253,14,true,0,Delhi,""
663,false,false,29,30,0,false,0,Delhi,"title_valid;mutation_complete;jurisdiction_eligible;jurisdiction_mismatch"
664,true,true,230,247,16,true,1,Karnataka,""
665,false,false,31,31,0,false,7,Gujarat,"kyc_pass;title_valid;registry_verified;jurisdiction_eligible;jurisdiction_mismatch"
666,true,true,211,228,16,true,2,Telangana,""
667,false,false,34,34,0,false,4,Rajasthan,"kyc_pass;title_valid;mutation_complete;encumbrance_free;jurisdiction_mismatch"
668,false,false,37,37,0,false,3,Maharashtra,"title_valid;registry_verified;encumbrance_free;jurisdiction_eligible;jurisdiction_mismatch"
669,false,false,42,43,0,false,1,Karnataka,"registry_verified;mutation_complete;zoning_compliant;jurisdiction_eligible;jurisdiction_mismatch"
670,false,false,36,37,0,false,4,Rajasthan,"jurisdiction_eligible;jurisdiction_mismatch"
671,true,true,233,247,13,true,4,Rajasthan,""
672,false,false,31,32,0,false,5,Chandigarh,"tax_paid;jurisdiction_mismatch"
673,false,false,45,46,0,false,6,Uttar_Pradesh,"mutation_complete;jurisdiction_eligible;jurisdiction_mismatch"
674,false,false,40,41,0,false,3,Maharashtra,"zoning_compliant;jurisdiction_mismatch"
675,false,false,37,37,0,false,2,Telangana,"kyc_pass;title_valid;registry_verified;mutation_complete;jurisdiction_mismatch"
676,true,true,234,248,13,true,4,Rajasthan,""
677,false,false,34,34,0,false,3,Maharashtra,"mutation_complete;encumbrance_free;tax_paid;jurisdiction_mismatch"
678,false,false,44,45,0,false,5,Chandigarh,"encumbrance_free;jurisdiction_eligible;jurisdiction_mismatch"
679,true,true,209,224,14,true,2,Telangana,""
680,true,true,247,261,13,true,1,Karnataka,""
681,true,true,201,216,14,true,7,Gujarat,""
682,false,false,28,29,0,false,2,Telangana,"kyc_pass;jurisdiction_mismatch"
683,false,false,35,36,0,false,2,Telangana,"mutation_complete;encumbrance_free;tax_paid;jurisdiction_mismatch"
684,true,true,237,253,15,true,4,Rajasthan,""
685,true,true,213,230,17,true,4,Rajasthan,""
686,true,true,234,248,13,true,7,Gujarat,""
687,true,true,213,228,14,true,7,Gujarat,""
688,true,true,215,228,12,true,7,Gujarat,""
689,true,true,203,217,13,true,0,Delhi,""
690,true,true,228,241,13,true,5,Chandigarh,""
691,true,true,216,234,17,true,4,Rajasthan,""
692,true,true,222,236,13,true,4,Rajasthan,""
693,false,false,28,28,0,false,1,Karnataka,"kyc_pass;title_valid;zoning_compliant;jurisdiction_eligible;jurisdiction_mismatch"
694,false,false,35,36,0,false,2,Telangana,"jurisdiction_eligible;jurisdiction_mismatch"
